tweet,sentiment,date,weekday,hour,followers,description
hi i have sent a direct message to  via the dm as youre not following me my account was d,0,2019-03-05 23:35:09,1.0,23.0,78.0,news world news sports
okay check now,0,2019-03-05 22:07:29,1.0,22.0,162.0,god  just be yourself
can your representatives in china make payment on my behalf to my chinese supplier,0,2019-03-05 21:55:18,1.0,21.0,238.0,i am always my self
im surprised that as at today 04032019 my second n38000 that was deducted from my acct,1,2019-03-05 21:53:46,1.0,21.0,42.0,
tried buying airtime via the app tried 3times and got debited 3times you owe me 3000how we go do am,1,2019-03-05 21:46:45,1.0,21.0,3545.0,eze aro ukpaka trader  business manunscrupulous adventurer
the elephant will soon crumble like a pack of card  winteriscoming usele,0,2019-03-05 21:39:56,1.0,21.0,42.0,
i was debited two days ago for a transaction that was declined via a pos until now it hasnt been revers,1,2019-03-05 21:30:19,1.0,21.0,1085.0,embrace your weirdness i love god family and hustle
maybe ill have to carry their sound proof generator if by same friday i,0,2019-03-05 21:29:49,1.0,21.0,42.0,
when are you going to reverse my money since feb 1st after pos failed i can see complains,1,2019-03-05 21:23:53,1.0,21.0,460.0,muslimah wife mother of 2boys  1 man client service mgr public administrator human resource expert pro mua  gele down to earth easy goinggod 1st
hmmm first bank first bank first bank you guys are annoying me lately and geting on my nerv,1,2019-03-05 21:10:05,1.0,21.0,735.0,perihelion stage of my life
ive visited an branch in yaba,0,2019-03-05 21:08:36,1.0,21.0,974.0,journalist covering global health conflict agriculture + development work
as the person complain he didnt see d money,0,2019-03-05 21:06:40,1.0,21.0,10.0,
08141501744  90 was loaded 08110454053  190 was loaded,0,2019-03-05 21:06:29,1.0,21.0,56.0,jasper osasjan music loverg made
dear  i made 4 transactions this morning 3 were first bank account while the fourth was a gtb account th,1,2019-03-05 21:03:15,1.0,21.0,1730.0,counselling psychologist teammufcproud shoe makervisit  on instagram for more shoe samples
this is definitely not the right way to treat your partners you can rise above this grand ine,1,2019-03-05 20:54:02,1.0,20.0,28.0,gods chaser lover of nature journalist
why are you guys going to respond to my dm please,1,2019-03-05 20:45:23,1.0,20.0,812.0,nicegentle n ready to mingle with everyone  verified disneyland eticket seller  purchase your disneyland etickets here at discount price
of course itll tire anybody  i suggests you visit any of their office if youve got the time,0,2019-03-05 20:43:45,1.0,20.0,28.0,gods chaser lover of nature journalist
i made a recharge via your whatsapp chat my account was debited but my number was not credited kindly look into this,1,2019-03-05 20:31:04,1.0,20.0,241.0,hr professional  spiritually minded   selectively quiet and troublesome  highly analytical  born psychologist  friend  brother  lover
please i want to know if i can use my debit mastercard to purchase items that are domiciled,0,2019-03-05 20:29:10,1.0,20.0,212.0,marine geoscientist web designer and developer entrepreneur exclusive political observer and analyst
merit its troubling i am getting tired myself,0,2019-03-05 20:26:57,1.0,20.0,974.0,journalist covering global health conflict agriculture + development work
my cash has been stuck for over 12 working days this is unfair,1,2019-03-05 20:25:52,1.0,20.0,4.0,a facility manager at lekki gardens and an environmental health specialist  fumigation water treatment and sewage treatment
account number  3039937387,0,2019-03-05 20:25:48,1.0,20.0,7.0,
please respond o my dm,0,2019-03-05 20:23:07,1.0,20.0,212.0,marine geoscientist web designer and developer entrepreneur exclusive political observer and analyst
i still havent found a reason why they cant resolve an issue going to a month now,1,2019-03-05 20:21:49,1.0,20.0,28.0,gods chaser lover of nature journalist
pls sirma havent hear anything about the request i made pls help me to do something to it,1,2019-03-05 20:11:19,1.0,20.0,180.0,cfc
this is the 9th day and i havent gotten any refund whats going on       you said 7 days and this is the 9th day,1,2019-03-05 19:44:45,1.0,19.0,56.0,information buff god wasnt created he isgod
dear  i have been unable to long on to my firstmobile for few days now could you please advise way forward,1,2019-03-05 19:34:26,1.0,19.0,154.0,electrial engineer free thinker  football lover retweet not endorsement  irepchelseafc
3133987486 this is my account and i recharged 500 to this number 09031578020,0,2019-03-05 19:25:39,1.0,19.0,63.0,just a nigerian  with a difference much smiles that i ensure to contaminate everyone that comes across my way with
sent you a dm just now i would be grateful if my request is attended to,0,2019-03-05 19:19:24,1.0,19.0,46.0,im a cool headed girl here for you to share your thoughts
thanks,0,2019-03-05 19:16:51,1.0,19.0,56.0,deviant that urhobo  yoruba boy
3083694461 1000 500sat 2nd of march  2019,0,2019-03-05 19:16:42,1.0,19.0,56.0,deviant that urhobo  yoruba boy
the money has been reverted,0,2019-03-05 19:16:07,1.0,19.0,2595.0,random tweets ideals at   metrosexual   fitness   aiesec  dhl   adventure  baby boy
biko i did a transfer to a polaris bank account yesterday i was debited but the person didnt get the m,1,2019-03-05 19:10:00,1.0,19.0,77.0,
guess you forgot that that was the same thing you told me about 10days ago  youfirst indeed  shior,1,2019-03-05 19:08:37,1.0,19.0,164.0,
ive reached a maximum device limit of 10can you please help me clear the history,0,2019-03-05 19:02:02,1.0,19.0,6.0,easy going guy
ive reached a maximum device limit of 10,0,2019-03-05 19:01:59,1.0,19.0,6.0,easy going guy
first bank i sent you guys message via inbox no reply yet i bought credit from my account i,1,2019-03-05 18:54:27,1.0,18.0,2.0,am simplegentle and jovial just me
this unprofessional devilish irresponsible and inconsiderate act of yours today has cost me more than m,1,2019-03-05 18:42:23,1.0,18.0,504.0,security isnt a job for me its a lifestyle
have dm the details,0,2019-03-05 18:41:22,1.0,18.0,91.0,love but dont trust anyone
pls im yet to see my reversal since 14022019 that i laid the complain and you have stopped replying my tweets,1,2019-03-05 18:36:45,1.0,18.0,616.0,
please attend to me and credited my account,1,2019-03-05 18:32:27,1.0,18.0,91.0,love but dont trust anyone
i need my money before tomorrow evening  or else i will close up my account after getting my m,1,2019-03-05 18:32:03,1.0,18.0,91.0,love but dont trust anyone
have dm the details you need from me still you havent get back to me,0,2019-03-05 18:31:00,1.0,18.0,91.0,love but dont trust anyone
please i need the money because it really affecting me now,1,2019-03-05 18:29:28,1.0,18.0,91.0,love but dont trust anyone
i dont know the problem of this first scam calling them self first bankwhy are you holding the money t,1,2019-03-05 18:28:58,1.0,18.0,91.0,love but dont trust anyone
hello please how do i send money to a school in the us through wester union or any other means,0,2019-03-05 18:28:50,1.0,18.0,657.0,ccna  ms office guru copywrite  email marketer music addict optimistic  burna boy  wizkid tomilolakehindecom
what good would it do me now i was home yesterdayeven your twitter account is slow,0,2019-03-05 18:07:06,1.0,18.0,93.0,i believe in a free worldmechanical engineering grad car freakfreelance writerpeacebuildergodschild
it has been rectified nowthank you,0,2019-03-05 18:02:18,1.0,18.0,73.0,unusual girluniversity of ibadan
the transaction date is 01032019 the amount is  800 and the transaction reference is 89128440,0,2019-03-05 18:01:28,1.0,18.0,137.0,certified marketer madridista athlete  buharist
i did two transactions n1 100 and n1 000 on the 3rd of march 2019,0,2019-03-05 17:56:34,1.0,17.0,1354.0,content developer videophoto journalist oap sports analyst comperedigital marketersocial media samimarcel1111com
ohhh since yesterday morning you guys just have my time or just saw my tweet pls i do not need your assistance again,1,2019-03-05 17:55:56,1.0,17.0,223.0,husbanddadsexual health specialist hivaids project coordinator private hiv clinic team chelsea team capricorn sweetmarriedmenassociation kingbee
well i did tell them that i was debited twicetwice so what will happen to the other n300  na voicemail be that one ba,1,2019-03-05 17:55:10,1.0,17.0,2396.0,100  for god ifb fast 100  chelsea  i rt hustle bae at avi
kindly reverse a failed transaction you did on my account since sunday i used your ussd co,1,2019-03-05 17:53:56,1.0,17.0,84.0,your favourite exercise physiologist health  fitness enthusiast certified zumba  strong by zumba instructor lover of bookshumorwriting food and sarcasm
when are you attending to my case     sent you my account number for over 3 hours now no word from you since,1,2019-03-05 17:48:22,1.0,17.0,1695.0,a very free dude
i received this sms few minutes ago  get 100mb free when you buy data worth 1000 and above from 14 to 2,0,2019-03-05 17:45:20,1.0,17.0,47.0,saxophonist trumpeter clarinetist guitarist pianist 100  musicologist
unserious bank no coordination at all,0,2019-03-05 17:41:18,1.0,17.0,184.0,taurusgod fearinglover of animals
since you couldnt open your dm for me to send you the details please find the details requested below,0,2019-03-05 17:39:41,1.0,17.0,81.0,accountant business manager loving father simple and easy going dude
me don give up on them since last year my wife did change of name they made a mistake wi,0,2019-03-05 17:39:18,1.0,17.0,423.0,husband father ceo lwgs baritone aspiring politician
complains write ups and visits i had an emergency recently and needed to call i bought airtime of 2k i was debi,1,2019-03-05 17:39:04,1.0,17.0,504.0,security isnt a job for me its a lifestyle
good day plz i did a transaction on my account on bet9jakcgamingthe transaction was not successful b,1,2019-03-05 17:38:46,1.0,17.0,39.0,i try to keep it real i dont have time to worry about what im projecting to the world im just busy being myself
whats the daily maximum mobile transfer limit,0,2019-03-05 17:38:35,1.0,17.0,3.0,
good pmplease kindly reply my dm thanks,0,2019-03-05 17:37:11,1.0,17.0,588.0,dont give a fuck about what you say behind me  positivevibes  godfearingstoner  bacelonafc
okayjust please resolve it asap,0,2019-03-05 17:34:07,1.0,17.0,46.0,i was born a survivor so if you think anything can make me go down then youd better let it be something equivalent to me
thank you,0,2019-03-05 17:27:42,1.0,17.0,1045.0,presenter radio host hr enthusiast sports lover mobile photography addict and a biker
i bought airtime worth 2000 naira through your app i was debited i wasnt credited neither was i refund,1,2019-03-05 17:21:56,1.0,17.0,504.0,security isnt a job for me its a lifestyle
my complaint is yet to be resolved,1,2019-03-05 17:17:21,1.0,17.0,205.0,definition of peace
please kindly check your dm as the matter is of urgency,0,2019-03-05 17:15:38,1.0,17.0,812.0,nicegentle n ready to mingle with everyone  verified disneyland eticket seller  purchase your disneyland etickets here at discount price
i did a transfer earlier today that wasnt successful i have been debited and the recipien,1,2019-03-05 17:15:12,1.0,17.0,12045.0,you cant shame the shameless instagram
whats the update concerning my pos deduction of 12k this is the 9th day,1,2019-03-05 17:13:30,1.0,17.0,56.0,information buff god wasnt created he isgod
i hope all hands are really on deck,0,2019-03-05 17:12:47,1.0,17.0,594.0,serial entrepreneur cool calm and collected
thank you   for the amendment pls do a lot more to protect your hard earned reputa,0,2019-03-05 17:12:32,1.0,17.0,390.0,peace  united  onepeople  nigeria  entertainment  politics
done that 8hrs ago kindly check amp do d needfulthanks,0,2019-03-05 17:03:20,1.0,17.0,83.0,
return my money or which kind fraud be this  return my  3200 failed pos transaction as promis,1,2019-03-05 17:02:58,1.0,17.0,744.0,political analyst civil right advocate and public health expert
he was not referring to your bank when i wrote that the person in charge of  tweete,0,2019-03-05 17:01:46,1.0,17.0,45.0,
and how much do you charge for that,0,2019-03-05 16:59:01,1.0,16.0,863.0,msc biotechnology   passionate about research biomedical science
first bankreturn my 3200 failed pos transaction now or you guys think i will,1,2019-03-05 16:56:47,1.0,16.0,744.0,political analyst civil right advocate and public health expert
your dm is not opened for me to provide the necessary information requested kindly open it asap,0,2019-03-05 16:52:02,1.0,16.0,81.0,accountant business manager loving father simple and easy going dude
loooool a whole day after  plus it wasnt posted till i had to call and shout almost made me miss out on,1,2019-03-05 16:50:49,1.0,16.0,212.0,living unapologetically
still waiting,0,2019-03-05 16:50:20,1.0,16.0,1080.0,oap  business womanmusic addict junk junkie  contact moilorettaolayemicom
what are you saying it seems whoever is in charge here just wake up and write rubbish the issue will be,0,2019-03-05 16:49:32,1.0,16.0,45.0,
no problem take the n200 the time wey i need am una no attend to me i dont need your hands on my account now  bye,0,2019-03-05 16:46:19,1.0,16.0,880.0,
i tried 2 recharge  1000 on 07080945957 on the 2nd of march  1000 was deducted from my account without recharging the line,1,2019-03-05 16:45:57,1.0,16.0,657.0,geo scientist music my family sacarsm teambarcelona god fearing
please answer me i cant even log into my first mobile app then i needed my statement of account,1,2019-03-05 16:45:49,1.0,16.0,32.0,
i am having 2 transactions issue involving 3 banks   responded at 15 mins,1,2019-03-05 16:44:09,1.0,16.0,5579.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
are you kidding me  this must be some joke i have witnesses at the scene even the security men at the a,0,2019-03-05 16:43:03,1.0,16.0,36.0,everything about me is simply cool with mewinks
good evening for two months plus ive been expecting a failed atm withdrawal transaction to be reversed,1,2019-03-05 16:40:47,1.0,16.0,134.0,
why are you selective  you guys are not responding to my tweet,0,2019-03-05 16:37:42,1.0,16.0,64.0,inquisitive learner buharist wanderlust
i want to send a dm regarding another issue kindly follow back,0,2019-03-05 16:37:02,1.0,16.0,281.0,chess enthusiast future grand master
i made a deposit into my bet9ja online account and i was debited but the transaction status shows failed,1,2019-03-05 16:36:38,1.0,16.0,540.0,god firstfootball  music   food addictcertified chelsea fc  fc ifaeanyi ubah fan
no one has contacted me yet even after your so called escalation i hope i sha get my 1k worth or re,1,2019-03-05 16:32:01,1.0,16.0,108.0,farmer and general agricultural consultant contact if you need catfish fresh or smoked
hi id like to request for my account number thanks,0,2019-03-05 16:31:17,1.0,16.0,2762.0,ig  snapchat dont get it twisted i have a very good sense of humor
better respond to my dm and refund my money before i report you guys to cbn,1,2019-03-05 16:21:42,1.0,16.0,1791.0,just trying to bad bitch my way through life
i believe i am being liberal and diplomatic enough sending you tweets upon tweets without r,0,2019-03-05 16:20:44,1.0,16.0,50.0,born a muslim growing up as a muslim and by allah grace would live the world as a muslim
hello,0,2019-03-05 16:17:19,1.0,16.0,556.0,
please reverse my money 7600naira debited on 4march2019 im not richer than first bank i take god beg una,1,2019-03-05 16:16:36,1.0,16.0,81.0,if it cost your peace its expensive iamnotwhatitweet cancer enterpreneur steelhammer naughtybynature
thank you its been reversed,0,2019-03-05 16:16:34,1.0,16.0,391.0,engineer in the making the industry better get ready for this one
please release  moneyplease am begging we are waiting for his videowe go do una wetin,1,2019-03-05 16:16:33,1.0,16.0,19.0,ceongng
i think the needful will be done if i get neither a reply nor refund,1,2019-03-05 16:11:57,1.0,16.0,50.0,born a muslim growing up as a muslim and by allah grace would live the world as a muslim
after four days no response from first bank yet on my request this truly sad,1,2019-03-05 16:05:34,1.0,16.0,795.0,intermediate websoftware developer  brand publicist man utd fan
my account has been over debited with extra 7600 whereas i made a transaction of 500nairapls reverse itthank u,1,2019-03-05 16:04:11,1.0,16.0,81.0,if it cost your peace its expensive iamnotwhatitweet cancer enterpreneur steelhammer naughtybynature
sir dont forget to look,0,2019-03-05 16:02:50,1.0,16.0,131.0,my support is for my country
pls why is my account been linean whereas ive been debited for the alleged linean account,1,2019-03-05 15:59:29,1.0,15.0,81.0,if it cost your peace its expensive iamnotwhatitweet cancer enterpreneur steelhammer naughtybynature
5k three times and 2k once total of n17000,1,2019-03-05 15:58:19,1.0,15.0,1166.0,music promoter artiste manager online publicist event consultant project coordinator adverts  pr  2347032702696 zaime media ent  nsnsnmpi
is that what they asked you  tell him why that amount of money was deducted it isnt s,1,2019-03-05 15:56:28,1.0,15.0,958.0,preparing to live my best life
confirmedthank you,0,2019-03-05 15:49:58,1.0,15.0,8.0,
i am still waiting for your reply,0,2019-03-05 15:47:59,1.0,15.0,422.0,excellence is iterative
i saw the n2000 refunded into my account thanks for your assistance i really appreciate it,1,2019-03-05 15:47:14,1.0,15.0,47.0,honesteasy goingpisces nigerian deltanproudly urhoboff1 rnm
because the receiver said he havent gotten it,0,2019-03-05 15:46:18,1.0,15.0,15.0,easygoing man
so you mean the transaction gotten to the receiver,0,2019-03-05 15:45:02,1.0,15.0,15.0,easygoing man
how did you knows my account number how did you get that the transaction is successful,0,2019-03-05 15:43:22,1.0,15.0,15.0,easygoing man
yall are scams and thieves i have the recording of when you called and admitted that the  1000 was ac,1,2019-03-05 15:41:47,1.0,15.0,296.0,a rapperhustlerhoping to be regarded as the greatest some days  alubarikacontacts  kingsanvellycom vellydeviolatorcom +2348106499183
please first bank i need urgent help by account was debited 3k for nothing 3052380232,1,2019-03-05 15:38:43,1.0,15.0,743.0,proud baptist
please kindly refund my 1k failed pos transaction on the 28 february 2019 3053610765,1,2019-03-05 15:35:08,1.0,15.0,1195.0,entrepreneurcar dealerevent managerevent decorgat an infectious sense of humor psalms 119 105 your word is a lamp to my foot and a light to my pathway
good one,0,2019-03-05 15:32:23,1.0,15.0,1057.0,computer tech support security solution expert i stay solo living like yolo  mufc
please respond to my dm,1,2019-03-05 15:30:23,1.0,15.0,2220.0,polymathig nsikak_nseyo
i just did when them ready them go ask for the account else i dy go shalaye for them 2moro morning,0,2019-03-05 15:28:42,1.0,15.0,1732.0,manchesterunitedfc abuad alumnus beng fiber engineeredo boy
i lodged a complaint on the 3rd of january 2019 do the math my friend,1,2019-03-05 15:27:24,1.0,15.0,153.0,
u didnt include the bank and type of account,0,2019-03-05 15:27:22,1.0,15.0,1057.0,computer tech support security solution expert i stay solo living like yolo  mufc
hello i ve a failed transaction of 5000 which i intended to top up an airtime but my account has been debited with say amount,1,2019-03-05 15:25:40,1.0,15.0,29.0,humble
this the evidence i paid via gtbank and my subscription is active why deduct 18000 for no reason with,1,2019-03-05 15:23:16,1.0,15.0,44.0,
hello i have being trying to transfer money from my account via my mobile appthere was no option to sel,1,2019-03-05 15:21:32,1.0,15.0,1732.0,manchesterunitedfc abuad alumnus beng fiber engineeredo boy
plsease sort it out this is shameful ill not tolerate this kind of dispense error when ive paid via g,1,2019-03-05 15:21:25,1.0,15.0,44.0,
i made an interbank transfer yesterday i was debited without crediting the receiving accou,1,2019-03-05 15:17:29,1.0,15.0,5580.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
i was debited n300 twice,1,2019-03-05 15:16:02,1.0,15.0,2396.0,100  for god ifb fast 100  chelsea  i rt hustle bae at avi
3020192706 1500 naira twice by oilways,1,2019-03-05 15:13:49,1.0,15.0,70.0,a father a husband a god chaser and a change agent
they wont ever pick the call yeye people,1,2019-03-05 15:06:28,1.0,15.0,71.0,
it is for the first debit and it was not reversed,1,2019-03-05 15:00:42,1.0,15.0,2186.0,live lifelove lifedont fit into any descriptionfind me in the comment sectionbotanist ig
still waiting,0,2019-03-05 14:53:23,1.0,14.0,5580.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
my two thousands naira   since february 26 i have sent all the information you r,1,2019-03-05 14:49:04,1.0,14.0,50.0,born a muslim growing up as a muslim and by allah grace would live the world as a muslim
account number is 3016273147date   3rd march 2019pls you guys should help me look into it,1,2019-03-05 14:48:30,1.0,14.0,341.0,artistmusicianstudentactivista sound radical
thank you,0,2019-03-05 14:48:30,1.0,14.0,120.0,
since 16th of february today is 5th march what if it was more than 16500 more than 18 days already,1,2019-03-05 14:47:34,1.0,14.0,887.0,husband to a queen dad to cute mimi sing loud sing proud remember who you are what you are and what you represent   theayus  arsenal instagram  ayajayaj
please i have been waiting for reply for the past 7hourswhat is happening,1,2019-03-05 14:47:23,1.0,14.0,37.0,most expensive liquid  tearsso never try to make anyone around you sad or cry
thanks it has been reversed,1,2019-03-05 14:47:05,1.0,14.0,341.0,content writer educational blogger sports lover  digital media enthusiast  christ ambassador reporter
my two thousands naira   since february 26 i have sent all the information you,1,2019-03-05 14:46:14,1.0,14.0,50.0,born a muslim growing up as a muslim and by allah grace would live the world as a muslim
i recently opened an account with one of your branch but yet to activate the account can i request for a,0,2019-03-05 14:45:31,1.0,14.0,37.0,
my two thousands naira   since february 26 i have sent all the information you requested for why are yo,1,2019-03-05 14:45:24,1.0,14.0,50.0,born a muslim growing up as a muslim and by allah grace would live the world as a muslim
i bought airtime with my first monie app i was instantly debited but no airtime was credited to my line,1,2019-03-05 14:44:56,1.0,14.0,64.0,inquisitive learner buharist wanderlust
yeah just saw it thanks for your help,0,2019-03-05 14:44:00,1.0,14.0,5202.0,web developer  securing the bag  tech enthusiasts   fupre  father to all parent to none
im still waiting to get a reply from you people oo i sent all the details to your dm pls get to me,1,2019-03-05 14:43:31,1.0,14.0,535.0,ig  brand
still waiting for your message,0,2019-03-05 14:43:28,1.0,14.0,5580.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
please reply my dm and help me resolve my issuesin my next tweet regarding this issues,1,2019-03-05 14:42:16,1.0,14.0,859.0,being born a male doesnt automatically make you a man
pls attend to fireboy now before i and the squad come and change it for you people live,1,2019-03-05 14:41:22,1.0,14.0,826.0,creating
abeg help me beg them i no know wetin be this kind this wish i could just write to their md dir,0,2019-03-05 14:40:36,1.0,14.0,184.0,taurusgod fearinglover of animals
is it not up to 7 working days yet   i have not received value,1,2019-03-05 14:38:15,1.0,14.0,1.0,never give up
your dm is not opened kindly  open it to enable me provide you with details,0,2019-03-05 14:38:07,1.0,14.0,81.0,accountant business manager loving father simple and easy going dude
account number is 3016273147date   3rd march 2019,0,2019-03-05 14:37:12,1.0,14.0,341.0,artistmusicianstudentactivista sound radical
ff back so i can send dm,0,2019-03-05 14:34:50,1.0,14.0,1308.0,marketing analysti give loans to salary earnersdm  teamchelsea jesus lived the life i could not live  died d death i could have died  gracepersonified
i have an issuee with an online transfer since yesterday the interbank transfer was successful i was de,1,2019-03-05 14:33:41,1.0,14.0,5580.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
i cant enter your dm why,0,2019-03-05 14:30:08,1.0,14.0,1046.0,am that song you skipped and later found out it was a hit i follow back dont follow to unfollow i gat the app sc  ig
check your dm please,0,2019-03-05 14:28:14,1.0,14.0,1045.0,presenter radio host hr enthusiast sports lover mobile photography addict and a biker
thank youi contacted your customer care through telephone yesterday and it was resolvedcheer,0,2019-03-05 14:26:55,1.0,14.0,225.0,god is not a man  that he will lie  he is covenant keeping god
please i have an issue with a transfer kindly initiate a private message,1,2019-03-05 14:26:31,1.0,14.0,5580.0,dadimmunologistacademicanimal lover lover passionate about god ldshp govrn it  educ  fllwlikesnrtwtsnotendrsmntorappvl
you need to dm   before dem go answer you,0,2019-03-05 14:26:24,1.0,14.0,49.0,zero pretense
a certain amount of money just vanished from my account no debit alert received i guess a,1,2019-03-05 14:21:20,1.0,14.0,13.0,husband entrepreneur political analyst passionate and patriotic nigerian arsenal football club supporter
please i tried using the banking code in recharging my line yesterday but i was debited and,1,2019-03-05 14:18:34,1.0,14.0,324.0,calm straight overcomer never gonna shrink for you to be around me
pls i would like to get more information about my account and its limits account number  3090080938acco,0,2019-03-05 14:14:54,1.0,14.0,271.0,rebranded artistic minded and a creativity lord
over 7 working days and no reversal has been made,1,2019-03-05 14:08:40,1.0,14.0,1252.0,alhamdulillah ala kulli halin
2nd march 2019 n1000 i have lost track of the others im sure youll see them on the account if you check,0,2019-03-05 14:08:09,1.0,14.0,1089.0,creative freelancer
and what about the failed topup on february 28,1,2019-03-05 13:59:39,1.0,13.0,1285.0,foodie parttime alcoholic  rock music manutd
please could i get the phone number of my account officer 3120137276 abiodun babatunde you can dm it to me thanks,0,2019-03-05 13:59:08,1.0,13.0,42.0,
transaction date 8th january 2019 the amount is 1000000 kindly initiate recall of transferred amount,1,2019-03-05 13:58:57,1.0,13.0,595.0,im thinking one day i will outlive myself husband je suis fan chelsea
guys you have not return my  3200 almost 3wks after you promise to do the needful this is fraud,1,2019-03-05 13:57:42,1.0,13.0,744.0,political analyst civil right advocate and public health expert
done check you dm,0,2019-03-05 13:57:09,1.0,13.0,133.0,godschild quantitysurveyor
20190304 the sum of three thousand naira,0,2019-03-05 13:51:33,1.0,13.0,15.0,easygoing man
your acct 313xxxx136 has been debited with ngn20000 on 01mar2019 15 24 57 by qs894 101300001371541999,1,2019-03-05 13:51:20,1.0,13.0,1.0,
firstbank issa scami will enter bank tomorrow and display for themhow,1,2019-03-05 13:50:32,1.0,13.0,409.0,omo ekiti with pridea graduate chemical engineergreat ife product a bakera lover of good mealskorean drama addict portharcourt corper
hello i transferred  1000 to someone just now and ive been debited but the person hasnt been credited,1,2019-03-05 13:50:27,1.0,13.0,1608.0,im a proud educationist a  lover of god and an arsenal fan  coyg  greatife
your acct 313xxxx136 has been debited with ngn20000 on 28feb2019 18 42 23 by qs894 101300001368242346,1,2019-03-05 13:49:18,1.0,13.0,1.0,
this happened to my sis tooeach time she tries to recharge online they debit her,1,2019-03-05 13:49:11,1.0,13.0,379.0,kdramaddict  kpopper  jimins bts n txt   arsenal fc  cr7  mo10  jr10  proudly nigerian
pls release my guy money o,1,2019-03-05 13:46:37,1.0,13.0,607.0,99  of the time my brain is thinking  problem solvingthe other 1  am usually asleep   cfcarmy
you cant be messaged,0,2019-03-05 13:46:27,1.0,13.0,1.0,
make una help othis is 7 days after wrongful deduction no refund despite all complaints this handle is,1,2019-03-05 13:45:23,1.0,13.0,556.0,
can my first bank mobile app function even if my   card expired,0,2019-03-05 13:44:43,1.0,13.0,3.0,im not a pessimist rather a optimist who sees something logical
3057047394  date 04032019 amount 4000,0,2019-03-05 13:43:33,1.0,13.0,18.0,news local news world news world news government government  politics
this is the third time this thing is happening first twas last year dec i tried rechargin,1,2019-03-05 13:41:55,1.0,13.0,409.0,omo ekiti with pridea graduate chemical engineergreat ife product a bakera lover of good mealskorean drama addict portharcourt corper
your branch at etta agbo calabar begs for serious attention the air conditioning system is bad and your,0,2019-03-05 13:40:40,1.0,13.0,131.0,immortal onen
for the past 5 days youve been apologizing for unusual late response i guess thats th,1,2019-03-05 13:39:27,1.0,13.0,423.0,husband father ceo lwgs baritone aspiring politician
on tuesday 26 february 3 0 3 3 8 5 9 9 1 9 amajuoritse ashon,0,2019-03-05 13:37:04,1.0,13.0,615.0,a media personnel fashion enthusiast farmerpoliticianchurch workerentrepreneur and lover of god
today will make it d eighth working day you guy are yet to make a reversal,1,2019-03-05 13:32:05,1.0,13.0,140.0,anime lover chelsea fc fan
okay,0,2019-03-05 13:23:11,1.0,13.0,2053.0,im just a good girl living in a bad mans world                                                           teamarsenal  geminiig
you guys arent blind i know you saw the screenshot i sent via dm let me reiterate its n200,0,2019-03-05 13:22:10,1.0,13.0,1152.0,muslimutsukushisa
